asset_id,hostname,classe,tipo_ativo,so_produto,criticidade,ambiente,status,app_produto,classe_encoded,criticidade_encoded,ambiente_encoded,qtd_cves_total,qtd_cves_aplicaveis,cvss_score_medio,cvss_score_max,cvss_score_std,qtd_critical,qtd_high,qtd_medium,qtd_low,pct_critical_high,qtd_cwes_distintos,pct_aplicaveis,PC1,PC2,PC3
ASSET-0001,SRVAPP-WIN-001,Servidor,Servidor de Aplicação,Windows Server 2019,MÉDIA,Produção,Ativo,MySQL Server,1,2,3,779.0,771.0,6.99,9.9,1.35,7.0,456.0,296.0,12.0,60.1,62.0,99.0,2.5418321468435323,-0.15593038987334643,1.0471607238815928
ASSET-0002,SRVAPP-WIN-002,Servidor,Servidor de Aplicação,Windows Server 2022,ALTA,Produção,Em manutenção,Oracle Java SE,1,3,3,726.0,70.0,7.31,9.8,0.98,1.0,53.0,16.0,0.0,77.1,21.0,9.6,-0.6756817110123391,2.1524529895124167,0.8338112849205052
ASSET-0003,SRVAPP-WIN-003,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 9,ALTA,Produção,Ativo,FortiOS,1,3,3,213.0,3.0,5.33,6.3,0.95,0.0,0.0,3.0,0.0,0.0,3.0,1.4,-2.624713074255276,1.1775369770799884,0.9521474342964333
ASSET-0004,SRVAPP-WIN-004,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 8,MÉDIA,Desenvolvimento,Ativo,SAP NetWeaver Application Server ABAP,1,2,1,184.0,4.0,6.25,8.5,1.72,0.0,1.0,3.0,0.0,25.0,3.0,2.2,-1.6013677356278433,2.4030727907903993,-1.2541755615357286
ASSET-0005,SRVAPP-WIN-005,Servidor,Servidor de Aplicação,Windows Server 2022,ALTA,Homologação,Ativo,MySQL Server,1,3,2,807.0,119.0,6.19,9.8,1.53,1.0,47.0,66.0,5.0,40.3,21.0,14.7,-0.8332427884356287,2.049422406146503,0.08767241685325414
ASSET-0006,SRVAPP-WIN-006,Servidor,Servidor de Aplicação,Windows Server 2025,MÉDIA,Produção,Ativo,ColdFusion,1,2,3,825.0,776.0,7.22,9.9,1.15,10.0,522.0,239.0,5.0,68.6,71.0,94.1,3.008915743955776,-0.4356106400770767,1.3438874729721346
ASSET-0007,SRVAPP-WIN-007,Servidor,Servidor de Aplicação,Linux,CRÍTICA,Desenvolvimento,Ativo,Junos OS,1,4,1,2721.0,8.0,6.1,7.5,0.74,0.0,1.0,7.0,0.0,12.5,8.0,0.3,-2.411824036211091,1.2770429120002076,-0.04667501601364966
ASSET-0008,SRVAPP-WIN-008,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 8,MÉDIA,Produção,Ativo,FortiOS,1,2,3,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.433472294142316,-1.0797125114073918,0.9801888935025374
ASSET-0009,SRVAPP-WIN-009,Servidor,Servidor de Aplicação,Linux,MÉDIA,Homologação,Ativo,Oracle Java SE,1,2,2,2671.0,1.0,4.8,4.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.403856025367733,0.15936485570253292,-0.027281568152364828
ASSET-0010,SRVAPP-WIN-010,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 9,BAIXA,Homologação,Ativo,Db2,1,1,2,191.0,1.0,4.4,4.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,-3.443410725877077,0.06662437373106547,-0.4705633208299481
ASSET-0011,SRVAPP-WIN-011,Servidor,Servidor de Aplicação,Linux,MÉDIA,Produção,Em manutenção,FortiWeb,1,2,3,2673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.433472294142316,-1.0797125114073918,0.9801888935025374
ASSET-0012,SRVAPP-WIN-012,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 7,ALTA,Produção,Descomissionado,Db2,1,3,3,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.464997081264011,-1.1004903261474124,1.450829695737045
ASSET-0013,SRVAPP-WIN-013,Servidor,Servidor de Aplicação,Windows Server 2022,CRÍTICA,Homologação,Ativo,Oracle Java SE,1,4,2,726.0,713.0,7.23,9.9,1.17,8.0,473.0,227.0,5.0,67.5,65.0,98.2,2.5554181844846617,-0.2694007021545139,1.3639823731963123
