asset_id,hostname,classe,tipo_ativo,so_produto,criticidade,ambiente,status,app_produto,classe_encoded,criticidade_encoded,ambiente_encoded,qtd_cves_total,qtd_cves_aplicaveis,cvss_score_medio,cvss_score_max,cvss_score_std,qtd_critical,qtd_high,qtd_medium,qtd_low,pct_critical_high,qtd_cwes_distintos,pct_aplicaveis,PC1,PC2,PC3,cluster
ASSET-0001,SRVAPP-WIN-001,Servidor,Servidor de Aplicação,Windows Server 2019,MÉDIA,Produção,Ativo,MySQL Server,1,2,3,779.0,771.0,6.99,9.9,1.35,7.0,456.0,296.0,12.0,60.1,62.0,99.0,2.5418321468435323,-0.1559303898733464,1.0471607238815928,0
ASSET-0002,SRVAPP-WIN-002,Servidor,Servidor de Aplicação,Windows Server 2022,ALTA,Produção,Em manutenção,Oracle Java SE,1,3,3,726.0,70.0,7.31,9.8,0.98,1.0,53.0,16.0,0.0,77.1,21.0,9.6,-0.6756817110123391,2.1524529895124167,0.8338112849205052,1
ASSET-0003,SRVAPP-WIN-003,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 9,ALTA,Produção,Ativo,FortiOS,1,3,3,213.0,3.0,5.33,6.3,0.95,0.0,0.0,3.0,0.0,0.0,3.0,1.4,-2.624713074255276,1.1775369770799884,0.9521474342964332,1
ASSET-0004,SRVAPP-WIN-004,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 8,MÉDIA,Desenvolvimento,Ativo,SAP NetWeaver Application Server ABAP,1,2,1,184.0,4.0,6.25,8.5,1.72,0.0,1.0,3.0,0.0,25.0,3.0,2.2,-1.6013677356278433,2.4030727907903997,-1.2541755615357286,1
ASSET-0005,SRVAPP-WIN-005,Servidor,Servidor de Aplicação,Windows Server 2022,ALTA,Homologação,Ativo,MySQL Server,1,3,2,807.0,119.0,6.19,9.8,1.53,1.0,47.0,66.0,5.0,40.3,21.0,14.7,-0.8332427884356287,2.049422406146503,0.0876724168532541,1
ASSET-0006,SRVAPP-WIN-006,Servidor,Servidor de Aplicação,Windows Server 2025,MÉDIA,Produção,Ativo,ColdFusion,1,2,3,825.0,776.0,7.22,9.9,1.15,10.0,522.0,239.0,5.0,68.6,71.0,94.1,3.008915743955776,-0.4356106400770767,1.3438874729721346,0
ASSET-0007,SRVAPP-WIN-007,Servidor,Servidor de Aplicação,Linux,CRÍTICA,Desenvolvimento,Ativo,Junos OS,1,4,1,2721.0,8.0,6.1,7.5,0.74,0.0,1.0,7.0,0.0,12.5,8.0,0.3,-2.411824036211091,1.2770429120002076,-0.0466750160136496,1
ASSET-0008,SRVAPP-WIN-008,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 8,MÉDIA,Produção,Ativo,FortiOS,1,2,3,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.433472294142316,-1.0797125114073918,0.9801888935025374,2
ASSET-0009,SRVAPP-WIN-009,Servidor,Servidor de Aplicação,Linux,MÉDIA,Homologação,Ativo,Oracle Java SE,1,2,2,2671.0,1.0,4.8,4.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.403856025367733,0.1593648557025329,-0.0272815681523648,2
ASSET-0010,SRVAPP-WIN-010,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 9,BAIXA,Homologação,Ativo,Db2,1,1,2,191.0,1.0,4.4,4.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,-3.443410725877077,0.0666243737310654,-0.4705633208299481,2
ASSET-0011,SRVAPP-WIN-011,Servidor,Servidor de Aplicação,Linux,MÉDIA,Produção,Em manutenção,FortiWeb,1,2,3,2673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.433472294142316,-1.0797125114073918,0.9801888935025374,2
ASSET-0012,SRVAPP-WIN-012,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 7,ALTA,Produção,Descomissionado,Db2,1,3,3,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.464997081264011,-1.1004903261474124,1.450829695737045,2
ASSET-0013,SRVAPP-WIN-013,Servidor,Servidor de Aplicação,Windows Server 2022,CRÍTICA,Homologação,Ativo,Oracle Java SE,1,4,2,726.0,713.0,7.23,9.9,1.17,8.0,473.0,227.0,5.0,67.5,65.0,98.2,2.5554181844846617,-0.2694007021545139,1.3639823731963123,0
ASSET-0014,SRVAPP-WIN-014,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 8,ALTA,Produção,Ativo,SAP NetWeaver Application Server ABAP,1,3,3,184.0,4.0,6.25,8.5,1.72,0.0,1.0,3.0,0.0,25.0,3.0,2.2,-1.5950650262591937,2.4030359044431564,0.6766672111451797,1
ASSET-0015,SRVAPP-WIN-015,Servidor,Servidor de Aplicação,Linux,ALTA,Produção,Ativo,FortiOS,1,3,3,2693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.464997081264011,-1.1004903261474124,1.450829695737045,2
ASSET-0016,SRVAPP-WIN-016,Servidor,Servidor de Aplicação,Windows Server 2025,BAIXA,Desenvolvimento,Ativo,MySQL Server,1,1,1,871.0,585.0,6.86,9.9,1.33,7.0,340.0,227.0,11.0,59.3,55.0,67.2,1.7654642666141798,0.4404998270683725,-0.950549493646966,0
ASSET-0017,SRVAPP-WIN-017,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 8,MÉDIA,Desenvolvimento,Ativo,Oracle Java SE,1,2,1,193.0,11.0,6.73,8.6,1.37,0.0,6.0,5.0,0.0,54.5,0.0,5.7,-1.4082820290328102,2.3927309301508712,-1.277515927577214,1
ASSET-0018,SRVAPP-WIN-018,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 9,MÉDIA,Homologação,Ativo,FortiOS,1,2,2,213.0,2.0,4.6,4.8,0.28,0.0,0.0,2.0,0.0,0.0,2.0,0.9,-3.238307873726196,0.350732453772557,-0.0652008369707588,2
ASSET-0019,SRVAPP-WIN-019,Servidor,Servidor de Aplicação,Windows Server 2025,MÉDIA,Desenvolvimento,Ativo,Oracle Java SE,1,2,1,790.0,509.0,7.17,9.9,1.1,7.0,345.0,153.0,4.0,69.2,55.0,64.4,1.6536944140245886,0.4584647026008058,-0.4491003772246096,0
ASSET-0020,SRVAPP-WIN-020,Servidor,Servidor de Aplicação,Windows Server 2022,MÉDIA,Produção,Ativo,ColdFusion,1,2,3,761.0,727.0,7.25,9.9,1.17,12.0,480.0,230.0,5.0,67.7,68.0,95.5,3.0471353804304755,-0.4182301064415856,1.3992471568165472,0
ASSET-0021,SRVAPP-WIN-021,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 9,BAIXA,Desenvolvimento,Ativo,MySQL Server,1,1,1,272.0,88.0,5.03,7.5,1.0,0.0,1.0,80.0,7.0,1.1,1.0,32.4,-2.169586270441615,0.9596517665557236,-1.543915691589044,1
ASSET-0022,SRVAPP-WIN-022,Servidor,Servidor de Aplicação,Windows Server 2025,ALTA,Produção,Ativo,FortiOS,1,3,3,812.0,780.0,7.21,9.9,1.16,10.0,522.0,242.0,6.0,68.2,73.0,96.1,3.0221781710915794,-0.4846645433434973,1.820234573070163,0
ASSET-0023,SRVAPP-WIN-023,Servidor,Servidor de Aplicação,Windows Server 2022,BAIXA,Produção,Descomissionado,SAP NetWeaver Application Server for ABAP,1,1,3,719.0,719.0,7.23,9.9,1.18,9.0,474.0,231.0,5.0,67.2,67.0,100.0,2.8090507791286408,-0.272062127077939,0.7440691249842131,0
ASSET-0024,SRVAPP-WIN-024,Servidor,Servidor de Aplicação,Windows Server 2022,ALTA,Homologação,Ativo,Db2,1,3,2,726.0,712.0,7.24,9.9,1.17,8.0,473.0,226.0,5.0,67.6,65.0,98.1,2.5873925686168144,-0.2441797138273382,0.8930531798534386,0
ASSET-0025,SRVAPP-WIN-025,Servidor,Servidor de Aplicação,Windows Server 2019,MÉDIA,Homologação,Ativo,ColdFusion,1,2,2,733.0,684.0,7.24,9.9,1.18,7.0,455.0,217.0,5.0,67.5,62.0,93.3,2.397369656533786,-0.0610372166516237,0.3431322382354748,0
ASSET-0026,SRVAPP-WIN-026,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 7,ALTA,Desenvolvimento,Ativo,Oracle Java SE,1,3,1,133.0,9.0,6.73,8.6,1.48,0.0,5.0,4.0,0.0,55.6,0.0,6.8,-1.3611491334748809,2.4693233348163006,-0.8325048541186435,1
ASSET-0027,SRVAPP-WIN-027,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 7,CRÍTICA,Produção,Ativo,MySQL Server,1,4,3,214.0,87.0,5.04,7.5,1.01,0.0,1.0,79.0,7.0,1.1,0.0,40.7,-2.166447757608585,0.8609179850651616,1.3075233023393809,1
ASSET-0028,SRVAPP-WIN-028,Servidor,Servidor de Aplicação,Windows Server 2025,MÉDIA,Desenvolvimento,Em manutenção,curl,1,2,1,792.0,776.0,7.22,9.9,1.15,10.0,522.0,239.0,5.0,68.6,71.0,98.0,3.0022329434576864,-0.4908514392129786,-0.1226309015334214,0
ASSET-0029,SRVAPP-WIN-029,Servidor,Servidor de Aplicação,Red Hat Enterprise Linux 9,BAIXA,Produção,Ativo,Junos OS,1,1,3,241.0,9.0,5.91,7.5,0.89,0.0,1.0,8.0,0.0,11.1,9.0,3.7,-2.193039390838916,1.4123272120559227,-0.0183171254606952,1
ASSET-0030,SRVAPP-WIN-030,Servidor,Servidor de Aplicação,Windows Server 2022,ALTA,Homologação,Ativo,Oracle Java SE,1,3,2,726.0,723.0,7.23,9.9,1.17,8.0,479.0,231.0,5.0,67.4,65.0,99.6,2.617872941897541,-0.2790722890776579,0.8960273321002368,0
ASSET-0031,SRVAPP-WIN-031,Servidor,Servidor de Aplicação,Linux,CRÍTICA,Homologação,Em manutenção,,1,4,2,2657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.515435616630878,-1.131638605083822,1.1913695127483526,2
ASSET-0032,SRVAPP-WIN-032,Servidor,Servidor de Aplicação,Windows Server 2019,MÉDIA,Produção,Descomissionado,,1,2,3,684.0,684.0,7.24,9.9,1.18,7.0,455.0,217.0,5.0,67.5,62.0,100.0,2.469788395329755,-0.1099357611677809,1.0623819652032025,0
